Startup,Year,Revenue,Expenses,Customers,CAC,LTV,Burn_Rate,Gross_Margin,LTV_CAC_Ratio
AlphaTech,2020,221958,260440,242,199.66,492.78,38482,-17.34,2.47
AlphaTech,2021,1253864,1609584,1266,200.28,825.99,355720,-28.37,4.12
AlphaTech,2022,541065,751431,1852,103.08,262.4,210366,-38.88,2.55
AlphaTech,2023,3383362,4549476,1510,157.99,454.0,1166114,-34.47,2.87
AlphaTech,2024,646967,723740,1422,141.59,476.91,76773,-11.87,3.37
BetaFlow,2020,184654,231369,586,198.1,423.81,46715,-25.3,2.14
BetaFlow,2021,861937,1103452,969,287.22,1406.49,241515,-28.02,4.9
BetaFlow,2022,2129150,2355663,1740,221.06,734.01,226513,-10.64,3.32
BetaFlow,2023,1471665,1639074,1275,147.77,376.31,167409,-11.38,2.55
BetaFlow,2024,2357085,2788847,1854,96.21,472.29,431762,-18.32,4.91
GammaAI,2020,1089913,1371176,638,231.82,690.73,281263,-25.81,2.98
GammaAI,2021,783260,875756,1035,261.13,1107.72,92496,-11.81,4.24
GammaAI,2022,1448945,1800606,1204,201.76,570.57,351661,-24.27,2.83
GammaAI,2023,4907923,5545071,1880,155.85,496.33,637148,-12.98,3.18
GammaAI,2024,345016,492056,780,227.84,995.76,147040,-42.62,4.37
DeltaHealth,2020,112666,140087,180,278.74,1268.3,27421,-24.34,4.55
DeltaHealth,2021,1350798,1520219,1368,217.21,868.36,169421,-12.54,4.0
DeltaHealth,2022,2349634,3112084,1104,79.9,330.76,762450,-32.45,4.14
DeltaHealth,2023,760736,908618,2235,173.45,618.9,147882,-19.44,3.57
DeltaHealth,2024,2343791,2990056,1368,57.86,226.18,646265,-27.57,3.91
EpsilonFin,2020,1779923,2453101,912,201.1,727.9,673178,-37.82,3.62
EpsilonFin,2021,2291601,2591324,708,223.7,1038.26,299723,-13.08,4.64
EpsilonFin,2022,3078854,4166803,732,164.13,435.83,1087949,-35.34,2.66
EpsilonFin,2023,389547,512542,1985,139.07,656.5,122995,-31.57,4.72
EpsilonFin,2024,1581299,2009583,990,138.14,402.59,428284,-27.08,2.91
